07,11,09,12,14
13,12,11,08,13
13,12,11,08,13
11,09,11,12,14
14,12,13,08,14
12,15,09,07,10
13,08,11,10,17
14,12,13,08,11
14,15,11,14,11
12,07,09,08,15
12,10,11,10,13
11,13,10,10,14
13,11,12,10,14
13,12,11,09,10
14,10,13,11,14
11,14,12,13,10
09,13,13,13,10
11,16,14,12,10
14,11,10,11,11
07,15,17,14,10
12,11,13,12,12
16,14,10,09,10
10,13,09,14,13
10,14,09,20,12
13,13,11,08,13
13,13,11,10,13
11,15,11,12,17
08,10,11,14,09
14,11,12,12,10
12,11,13,13,12
08,11,11,10,17
10,11,11,11,14
14,11,10,12,12
12,09,11,11,12
13,14,13,14,09
19,14,11,12,13
12,11,11,12,15
16,12,08,15,14
15,07,09,12,15
14,13,14,14,14
12,16,07,12,11
13,12,10,12,13
13,14,12,12,11
14,12,11,11,12
15,13,10,12,10
14,13,12,10,12
14,11,10,12,13
15,11,14,12,11
